vin,stock_number,zip_code,status,year,brand,model,mileage,exterior_color,interior_color,drive_train,mpg,fuel_type,transmission,engine,price,seller_name,seller_rating,consumer_rating,comfort,interior,performance,value,exterior,reliability,accidents_or_damage,1_owner_vehicle,city,state
1P9PA1821VB213001,197C,30371,Used,1997,Panoz,AIV Roadster,2341,Black,Tan,–,0-0,–,5 Speed Manual,–,64900,Collectible Motor Car of Atlanta,,,,,,,,,None reported,False,atlanta,ga
1GCDC14H9JZ147008,881C,30371,Used,1988,Chevrolet,1500,183122,Burgundy Metallic,Burgundy,–,0-0,–,700R4,–,19900,Collectible Motor Car of Atlanta,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,At least 1 accident or damage reported,False,atlanta,ga
1C4RJXN69RW294275,514467,30371,New,2024,Jeep,Wrangler 4xe Sport,11,Black Clearcoat,Black,Four-wheel Drive,,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,45795,Ed Voyles Chrysler Dodge Jeep RAM,4.7,3.5,3.5,4.0,3.5,3.0,4.5,3.0,,,atlanta,ga
1C4RJXN61RW305494,513612,30371,New,2024,Jeep,Wrangler 4xe Sport,20,Bright White Clearcoat,Black,Four-wheel Drive,,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,45200,Ed Voyles Chrysler Dodge Jeep RAM,4.7,3.5,3.5,4.0,3.5,3.0,4.5,3.0,,,atlanta,ga
JTJAAAAB2PA009095,PA009095,30371,Used,2023,Lexus,RZ 450e Premium,475,Cloudburst Gray,Gray,All-wheel Drive,,,1-Speed Automatic,Electric,43420,ALM Marietta,4.7,5.0,4.0,4.0,3.8,3.2,4.0,3.8,None reported,True,atlanta,ga
3VW5DAAT6KM502954,ATKM502954A,30371,Used,2019,Volkswagen,Beetle 2.0T S,58137,Deep Black Pearl/Black Roof,Titan Black,Front-wheel Drive,26-33,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,",24787,Marietta Auto Sales,4.2,4.6,4.7,4.8,4.8,4.4,4.9,4.5,None reported,False,atlanta,ga
SCA687S52JU104589,MOARR13311C,30371,Rolls-Royce Certified,2018,Rolls-Royce,Phantom Sedan,25570,Arctic White,Seashell,Rear-wheel Drive,12-19,Gasoline,ZF 8-Speed Automatic,"6.7L V-12 gasoline direct injection, DOHC, variable valve contro",301900,Motorcars of Atlanta,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,None reported,False,atlanta,ga
WP0BA2Y15NSA67352,A67352,30371,Used,2022,Porsche,Taycan Cross Turismo 4,21001,Cherry Metallic,Black,All-wheel Drive,,,2-Speed Automatic,Electric Motor,70999,Atlanta Autos,4.4,,,,,,,,None reported,True,atlanta,ga
W1K6X7KB2NA074279,074279,30371,Used,2022,Mercedes-Benz,Maybach S 680 4MATIC,1565,Black,Black,All-wheel Drive,12-21,Gasoline,9-Speed Automatic,"6L V-12 twin turbo, premium unleaded, engine with 621HP",179999,Atlanta Autos,4.4,,,,,,,,None reported,True,atlanta,ga
1G4HP54K814188084,497919B,30371,Used,2001,Buick,LeSabre Custom,90121,White,Medium Blue,Front-wheel Drive,19-30,Gasoline,4-Speed Automatic,3.8L V6 12V MPFI OHV,5988,Ed Voyles Honda,4.9,4.5,4.7,4.6,4.5,4.6,4.2,4.4,None reported,False,atlanta,ga
